id,artist,aliases,era,genres,age,fame_tier,kz_origin,notes
kairat-nurtas,Kairat Nurtas,Кайрат Нұртас|Кайрат Нуртас,2010s-now,toi|pop,family,1,confirmed,Абсолютный тир-1 узнаваемости. Знают все поколения. Бери 8-10 треков
irina-kairatovna,Irina Kairatovna,Ирина Кайратовна|IK,2018-now,rap|comedy|underground,18plus,1,confirmed,"Мемная узнаваемость выше музыкальной. 5000, Kok tu, Майк кроссовки. Почти всё 18+"
skryptonite,Скриптонит,Gruppa Skryptonite|Adil Zhalelov,2014-now,rap|rnb,18plus,1,confirmed,Павлодар. Тир-1 но почти весь каталог 18+
ninety-one,Ninety One,91|Q-pop,2015-now,pop|qpop,family,1,confirmed,Родоначальники Q-pop. Айыптама Su Asaby Ah Yah Mah
aikyn,Aikyn Tolepbergen,Айқын Төлепберген|Айкын,2008-now,toi|pop,family,1,confirmed,Огромный каталог узнаваемых. Ерке Қыз Асылым Пах-Пах
dos-mukasan,Дос-Мұқасан,Dos-Mukasan,1967-1990s,retro|folk,family,1,confirmed,Легенда советского Казахстана. Знают через родителей. Той жыры Аяулым
muzart,МузАрт,MuzArt,1990s-2010s,retro|pop,family,1,confirmed,Сағындым алматымды Сен келерсің бір күні
roza-rymbaeva,Роза Рымбаева,Roza Rymbaeva,1970s-now,retro|estrada,family,1,confirmed,Народная артистка. Любовь Алия
batyrkhan-shukenov,Батырхан Шүкенов,Batyrkhan Shukenov|А-Студио,1990s-2015,retro|pop|jazz,family,1,confirmed,Отан Ана Твои шаги. Вечная классика
dimash,Dimash Qudaibergen,Димаш Құдайберген,2015-now,pop|classical,family,1,confirmed,Мировая известность. Но треки сложнее для угадывания
jah-khalib,Jah Khalib,Бахтияр Мамедов,2015-now,rap|rnb|pop,family,1,confirmed,Алматы. Медина Каблук Осенняя. В основном на русском но узнаваемость тир-1
sadraddin,Sadraddin,Садраддин,2018-now,pop|rnb,family,1,confirmed,"Топ-1 чарта KZ сейчас. Sagynysh Bolme Menin adamym, Baqyt"
moldanazar,MOLDANAZAR,Молданазар,2015-now,indie|alt,family,2,confirmed,Инди-икона. Mahabbatym Ozin Gana
vsxv-prince,V $ X V PRiNCE,VSXV PRiNCE,2017-now,rap|rnb,18plus,2,confirmed,Асылым Big City Life Мурашки Далада
orda,ORDA,ОРДА,2015-now,rock|alt,family,2,confirmed,Ғашықсың ба Белгісіз Жан Жауап Бер
bakr,Bakr,Бакр,2019-now,rap|rnb,18plus,2,verify,Сильно в чарте KZ. Уточнить казахстанское происхождение
de-lacure,De Lacure,,2019-now,rnb|rap,family,2,confirmed,Algabas Unaisyn dal solay
shiza,Shiza,Шиза,2019-now,rap|underground,18plus,2,confirmed,TER 667 Terbel ALA
qarakesek,Qarakesek,Қаракесек,2000s-now,rock|toi,family,2,confirmed,Қураған гүл. Народная рок-группа
alem,ALEM,Alem Band,2010s-now,pop,family,2,confirmed,Ханшайым Qalauym Kuiim
ernar-aidar,Ernar Aidar,Ернар Айдар,2010s-now,toi|pop,family,2,confirmed,Сонда да сүйем
nurzhan-kermenbayev,Nurzhan Kermenbayev,Нұржан Кермембаев,2010s-now,toi|pop,family,2,confirmed,Zhylaidy Zhurek Dogar Qaidasyn Gashygym
kazybek-kuraiysh,Kazybek Kuraiysh,Қазыбек Құрайыш,2018-now,pop|rnb,family,2,confirmed,Бақытыңды табасың Jylama janym Suiemin
madina-sadvakasova,Madina Sadvakasova,Мадина Сәдуақасова,2005-now,pop|estrada,family,2,confirmed,Ән сал сарбаз
musicola,Musicola,Мюзикола,1990s-2010s,retro|pop,family,2,confirmed,Сен мұңыңды без маған
bayterek,Байтерек,Bayterek,1990s-2000s,retro|pop,family,2,confirmed,Сен
a-studio,А-Студио,A-Studio,1987-now,retro|pop,family,2,confirmed,Джулия Нелюбимая. Через родителей знают все
kuandyq-rakhym,Қуандық Рахым,Kuandyk Rakhym,2010s-now,toi|patriotic,family,2,confirmed,Мен Қазақпын Аққуым Аппағым
toregali-toreali,Toregali Toreali,Төреғали Төреәлі,2010s-now,toi|pop,family,2,confirmed,Алматы ең алғашқы махаббатым
madi-rymbaev,Мади Рымбаев,Madi Rymbaev,2015-now,pop,family,2,confirmed,Q-pop сцена
ziruza,Ziruza,Зируза,2015-now,pop|rnb,family,3,confirmed,Kesh 24/7
raim,RaiM,РаиМ,2017-now,pop|rap,family,2,confirmed,Хиты с Артуром и Адиной. Огромная узнаваемость у зумеров
adilet-zhaugashar,Adilet Zhaugashar,Әділет Жауғашар,2018-now,toi|pop,family,2,confirmed,Жасырын кездесу Сүй иә. Топ чарта
abzal-uteshov,Abzal Uteshov,Абзал Утешов,2018-now,pop|toi,family,2,confirmed,Біз жолығамыз Bir Oilap Alam. Топ чарта
ernar-amandyq,Ernar Amandyq,Ернар Амандық,2019-now,pop,family,2,confirmed,Meni kut Keipker
kalifarniya,Kalifarniya,Калифарния,2019-now,rap|pop,family,2,confirmed,Aspan OLAI Ademi
duman,Duman,Думан,2020-now,pop,family,3,confirmed,Баяғыдай Жіберем қалай
dudeontheguitar,dudeontheguitar,,2019-now,indie|acoustic,family,3,confirmed,şeksiz Chill Chill kelmid
ayau,Ayau,Аяу,2020-now,indie|rnb,family,3,confirmed,AYAULYM sensiz tartady
orynkhan,Orynkhan,Орынхан,2019-now,pop|rnb,family,3,confirmed,TU TU TU qazir bolmasa Sulyym
mdee,M'Dee,МДи,2017-now,jazz|rnb|soul,family,3,confirmed,Алматинский джаз. что такое счастье
darkhan-juzz,Darkhan Juzz,Дархан Джуз,2019-now,rnb|jazz,family,3,confirmed,Sheker Shyraq Úide
bonaparte,Bonaparte,Бонапарт,2019-now,pop|indie,family,3,confirmed,Наверно это любовь Алмата-Семей
marhaba-sabi,Marhaba Sabi,Мархаба Саби,2018-now,pop,family,3,confirmed,Unaidy Magan Gana Qyz Bozbala
yenlik,Yenlik,Еңлік,2019-now,pop|indie,family,3,confirmed,Men dep oila bir kem dunie
kunzharyq,Kunzharyq,Күнжарық,2020-now,indie,family,3,confirmed,Túimedaq kelekelei zhanbyr
zoloto,ZOLOTO,Золото,2018-now,indie|alt,family,3,confirmed,Непроизошло
truwer,Truwer,Трувер,2016-now,rap,18plus,3,confirmed,Муса. Gruppa Skryptonite
niman,Niman,Ниман,2017-now,rap,18plus,3,confirmed,ДМХ. Gruppa Skryptonite
104,104,,2015-now,rap,18plus,3,confirmed,BACKWOODS. Gruppa Skryptonite
kisloslаdkiy,Кисло-Сладкий,Kislo Sladkiy,2016-now,rap|underground,18plus,3,confirmed,AM JALAMA
